Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;100.0;1 pF;220 pF;C0G (NP0);image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;100.0;120 pF;47 nF;X7R;image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;200.0;330 pF;150 nF;X7R;image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;250.0;330 pF;470 nF;X7R;image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500.0;100 pF;39 nF;C0G (NP0);image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500.0;15 nF;2.2 uF;X7R;image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500.0;27 nF;6.8 uF;X7R;image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;250.0;1 pF;1 nF;C0G (NP0);image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500.0;1 pF;4.7 nF;C0G (NP0);image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;630.0;1 pF;10 nF;C0G (NP0);image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;630.0;56 pF;12 nF;C0G (NP0);image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;630.0;330 pF;1.0 uF;X7R;image\capacitors\45199.png;Datasheet\capacitors\VJ Commercial Series\VJ Commercial Series.pdf;
