Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;6.3;120 nF;150 nF;X5R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;16.0;27 nF;47 nF;X5R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;100.0;1 pF;180 pF;C0G (NP0);image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;200.0;1 pF;1.5 nF;C0G (NP0);image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500.0;1 pF;3.3 nF;C0G (NP0);image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;100.0;100 pF;22 nF;X7R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;100.0;270 pF;100 nF;X7R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;200.0;150 pF;390 nF;X7R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500.0;39 pF;22 nF;C0G (NP0);image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500.0;100 pF;10 nF;C0G (NP0);image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500.0;100 pF;33 nF;C0G (NP0);image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500.0;120 pF;39 nF;C0G (NP0);image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500.0;680 pF;1.0 uF;X7R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500.0;1 nF;1.0 uF;X7R;image\capacitors\45200.png;Datasheet\capacitors\VJ Hi-Rel Series\VJ Hi-Rel Series.pdf;
