Series;Product Image;IFAV(A);TC(°C);VRRM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFat IFMat 25 °C(V at A);TJ(°C);RthJC(°C/W);Package;CircuitConfiguration;Isolation fromHeatsink;Image path;Datasheet part;3d model part
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;230;100;1200;5500;5765;1.46;-40 to +150;0.14;INT-A-PAK;Single diode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;230;100;800;5500;5765;1.46;-40 to +150;0.14;INT-A-PAK;Two diodes doubler circuit;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;165;100;400;4000;4200;1.43;-40 to +150;0.2;INT-A-PAK;Two diodes common anode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;230;100;1600;5500;5765;1.46;-40 to +150;0.14;INT-A-PAK;Two diodes common anode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;165;100;1200;4000;4200;1.43;-40 to +150;0.2;INT-A-PAK;Two diodes common cathode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;195;100;400;4750;4980;1.38;-40 to +150;0.16;INT-A-PAK;Single diode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;165;100;1600;4000;4200;1.43;-40 to +150;0.2;INT-A-PAK;Two diodes doubler circuit;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;195;100;1200;4750;4980;1.38;-40 to +150;0.16;INT-A-PAK;Two diodes common anode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;195;100;1400;4750;4980;1.38;-40 to +150;0.16;INT-A-PAK;Two diodes common cathode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series;Enlarge;230;100;800;5500;5765;1.46;-40 to +150;0.14;INT-A-PAK;Single diode;Isolated;image\modules\94357.png;Datasheet\modules\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series\VS-VSK.166..PbF, VS-VSK.196..PbF, VS-VSK.236..PbF Series.pdf;
