Series;Product Image;IFAV(A);TC(°C);VRRM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFat IFMat 25 °C(V at A);TJ(°C);RthJC(°C/W);Package;CircuitConfiguration;Isolation fromHeatsink;Image path;Datasheet part;3d model part
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;400;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1400;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Single diode;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1600;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;400;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1400;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1600;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1200;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Single diode;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1400;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes common cathode;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1200;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes common anode;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series;Enlarge;80;110;1400;1500;1570;1.6;-40 to +150;0.28;AAP Gen 7 (TO-240AA);Two diodes doubler circuit;Isolated;image\modules\94626.png;Datasheet\modules\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series\VS-VSKD71.., VS-VSKE71.., VS-VSKJ71.., VS-VSKC71.. Series.pdf;
