Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
1N4728A to 1N4761A;Enlarge;1N4728A;3.3;75;3.3;76.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4729A;3.3;75;3.6;69.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4730A;3.3;75;3.9;64.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4731A;3.3;75;4.3;58.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4732A;3.3;75;4.7;53.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4733A;3.3;75;5.1;49.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4734A;3.3;75;5.6;45.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4735A;3.3;75;6.2;41.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4736A;3.3;75;6.8;37.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4737A;3.3;75;7.5;34.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4738A;3.3;75;8.2;31.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4739A;3.3;75;9.1;28.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4740A;3.3;75;10.0;25.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4741A;3.3;75;11.0;23.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4742A;3.3;75;12.0;21.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4743A;3.3;75;13.0;19.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4744A;3.3;75;15.0;17.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4745A;3.3;75;16.0;15.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4746A;3.3;75;18.0;14.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4747A;3.3;75;20.0;12.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4748A;3.3;75;22.0;11.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4749A;3.3;75;24.0;10.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4750A;3.3;75;27.0;9.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4751A;3.3;75;30.0;8.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4752A;3.3;75;33.0;7.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4753A;3.3;75;36.0;7.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4754A;3.3;75;39.0;6.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4755A;3.3;75;43.0;6.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4756A;3.3;75;47.0;5.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4757A;3.3;75;51.0;5.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4758A;3.3;75;56.0;4.5;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4759A;3.3;75;62.0;4.0;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4760A;3.3;75;68.0;3.7;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
1N4728A to 1N4761A;Enlarge;1N4761A;3.3;75;75.0;3.3;1300;DO-41 (DO-204AL);Thermal equilibrium;No;image/diodes/85816.png;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.pdf;Datasheet/diodes/zener-stabilizers/1N4728A to 1N4761A/1N4728A to 1N4761A.zip
