Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
1N5221 to 1N5267;Enlarge;1N5221;2.4;75;2.4;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5222;2.4;75;2.5;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5223;2.4;75;2.7;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5224;2.4;75;2.8;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5225;2.4;75;3.0;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5226;2.4;75;3.3;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5227;2.4;75;3.6;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5228;2.4;75;3.9;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5229;2.4;75;4.3;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
1N5221 to 1N5267;Enlarge;1N5230;2.4;75;4.7;20.0;500;DO-35 (DO-204AH);Thermal equilibrium;No;image/diodes/85588.png;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.pdf;Datasheet/diodes/zener-stabilizers/1N5221 to 1N5267/1N5221 to 1N5267.zip
