Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;17.0;18.9;20.9;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;33.0;36.7;40.6;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;14.0;15.6;17.2;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;26.0;28.9;31.9;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;40.0;44.4;49.1;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;11.0;12.2;13.5;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;20.0;22.2;24.5;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;16.0;17.8;19.7;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;30.0;33.3;36.8;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;13.0;14.4;15.9;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
3KASMC10A thru 3KASMC43A;Enlarge;PAR® TVS;3000;SMC (DO-214AB);Unidirectional;24.0;26.7;29.5;185;Yes;image/diodes/88480.png;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.pdf;Datasheet/diodes/tvs-protection/3KASMC10A thru 3KASMC43A/3KASMC10A thru 3KASMC43A.zip
