Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;28.2;31.4;34.7;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;58.1;64.6;71.4;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;12.8;14.3;15.8;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;77.8;86.5;95.5;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;43.6;48.5;53.6;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;20.5;22.8;25.2;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;33.3;37.1;41.0;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;15.3;17.1;18.9;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;25.6;28.5;31.5;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;53.0;58.9;65.1;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;11.1;12.4;13.7;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;70.1;77.9;86.1;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;40.2;44.7;49.4;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;18.8;20.9;23.1;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;30.8;34.2;37.8;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;13.6;15.2;16.8;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;85.5;95.0;105.0;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;47.8;53.2;58.8;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;10.2;11.4;12.6;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;23.1;25.7;28.4;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;64.1;71.3;78.8;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
6DFN12CA thru 6DFN100CA;Enlarge;TRANSZORB® TVS;600;DFN3820A;Bidirectional;36.8;40.9;45.2;175;No;image/diodes\98490.png;Datasheet\diodes\6DFN12CA thru 6DFN100CA\6DFN12CA thru 6DFN100CA.pdf;
