Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
BZD27B-M Series;Enlarge;BZD27B3V6P-M;3.6;200;3.6;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B3V9P-M;3.6;200;3.9;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B4V3P-M;3.6;200;4.3;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B4V7P-M;3.6;200;4.7;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B5V1P-M;3.6;200;5.1;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B5V6P-M;3.6;200;5.6;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B6V2P-M;3.6;200;6.2;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B6V8P-M;3.6;200;6.8;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B7V5P-M;3.6;200;7.5;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B8V2P-M;3.6;200;8.2;100.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
BZD27B-M Series;Enlarge;BZD27B9V1P-M;3.6;200;9.1;50.0;2300;SMF (DO-219AB);Pulse current;Yes;image/diodes/85922.png;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.pdf;Datasheet/diodes/zener-stabilizers/BZD27B-M Series/BZD27B-M Series.zip
