Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
BZG03C-M-Series;Enlarge;BZG03C10-M;10.0;270;10.0;50.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C11-M;10.0;270;11.0;50.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C12-M;10.0;270;12.0;50.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C13-M;10.0;270;13.0;50.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C15-M;10.0;270;15.0;50.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C16-M;10.0;270;16.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C18-M;10.0;270;18.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C20-M;10.0;270;20.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C22-M;10.0;270;22.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C24-M;10.0;270;24.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C27-M;10.0;270;27.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C30-M;10.0;270;30.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C33-M;10.0;270;33.0;25.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C36-M;10.0;270;36.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C39-M;10.0;270;39.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C43-M;10.0;270;43.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C47-M;10.0;270;47.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C51-M;10.0;270;51.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C56-M;10.0;270;56.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C62-M;10.0;270;62.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C68-M;10.0;270;68.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C75-M;10.0;270;75.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C82-M;10.0;270;82.0;10.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C91-M;10.0;270;91.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C100-M;10.0;270;100.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C110-M;10.0;270;110.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C120-M;10.0;270;120.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C130-M;10.0;270;130.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C150-M;10.0;270;150.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C160-M;10.0;270;160.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C180-M;10.0;270;180.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C200-M;10.0;270;200.0;5.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C220-M;10.0;270;220.0;2.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C240-M;10.0;270;240.0;2.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
BZG03C-M-Series;Enlarge;BZG03C270-M;10.0;270;270.0;2.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes/86138.png;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.pdf;Datasheet/diodes/zener-stabilizers/BZG03C-M-Series/BZG03C-M-Series.zip
