Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
BZG05B-M-Series;Enlarge;BZG05B3V3-M;3.3;100;3.3;80.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B3V6-M;3.3;100;3.6;60.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B3V9-M;3.3;100;3.9;60.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B4V3-M;3.3;100;4.3;50.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B4V7-M;3.3;100;4.7;45.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B5V1-M;3.3;100;5.1;45.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B5V6-M;3.3;100;5.6;45.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B6V2-M;3.3;100;6.2;35.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B6V8-M;3.3;100;6.8;35.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
BZG05B-M-Series;Enlarge;BZG05B7V5-M;3.3;100;7.5;35.0;3000;SMA (DO-214AC);Pulse current;Yes;image/diodes\86136.png;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.pdf;Datasheet\diodes\BZG05B-M-Series\BZG05B-M-Series.zip
