Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
BZM55-Series;Enlarge;BZM55C2V4;2.4;75;2.4;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C2V7;2.4;75;2.7;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C3V0;2.4;75;3.0;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C3V3;2.4;75;3.3;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C3V6;2.4;75;3.6;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C3V9;2.4;75;3.9;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C4V3;2.4;75;4.3;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C4V7;2.4;75;4.7;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C5V1;2.4;75;5.1;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C5V6;2.4;75;5.6;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C6V2;2.4;75;6.2;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C6V8;2.4;75;6.8;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C7V5;2.4;75;7.5;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C8V2;2.4;75;8.2;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C9V1;2.4;75;9.1;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C10;2.4;75;10.0;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C11;2.4;75;11.0;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
BZM55-Series;Enlarge;BZM55C12;2.4;75;12.0;5.0;500;MicroMELF;Pulse current;No;image/diodes\85597.png;Datasheet\diodes\BZM55-Series\BZM55-Series.pdf;Datasheet\diodes\BZM55-Series\BZM55-Series.zip
