Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
BZT03-Series;Enlarge;BZT03C6V2;6.2;300;6.2;100.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C6V8;6.2;300;6.8;100.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C7V5;6.2;300;7.5;100.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C8V2;6.2;300;8.2;100.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C9V1;6.2;300;9.1;50.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C10;6.2;300;10.0;50.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C11;6.2;300;11.0;50.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C12;6.2;300;12.0;50.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C13;6.2;300;13.0;50.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C15;6.2;300;15.0;50.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C16;6.2;300;16.0;25.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
BZT03-Series;Enlarge;BZT03C18;6.2;300;18.0;25.0;3250;SOD-57;Pulse current;No;image/diodes/85599.png;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.pdf;Datasheet/diodes/zener-stabilizers/BZT03-Series/BZT03-Series.zip
