Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
BZT52 Series;Enlarge;BZT52C2V2;2.2;75;522.2;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C2V4;2.2;75;522.4;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C2V7;2.2;75;522.7;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C3V0;2.2;75;523.0;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C3V3;2.2;75;523.3;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C3V6;2.2;75;523.6;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C3V9;2.2;75;523.9;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C4V3;2.2;75;524.3;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C4V7;2.2;75;524.7;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C5V1;2.2;75;525.1;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C5V6;2.2;75;525.6;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C6V2;2.2;75;526.2;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C6V8;2.2;75;526.8;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C7V5;2.2;75;527.5;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C8V2;2.2;75;528.2;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C9V1;2.2;75;529.1;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C10;2.2;75;5210.0;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C11;2.2;75;5211.0;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
BZT52 Series;Enlarge;BZT52C12;2.2;75;5212.0;5.0;500;SOD-123;Pulse current;Yes;image/diodes\86342.png;Datasheet\diodes\BZT52 Series\BZT52 Series.pdf;
