Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
GDZ-Series;Enlarge;GDZ2V0B;2.0;36;2.0;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ2V2B;2.0;36;2.2;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ2V4B;2.0;36;2.4;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ2V7B;2.0;36;2.7;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ3V0B;2.0;36;3.0;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ3V3B;2.0;36;3.3;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ3V6B;2.0;36;3.6;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ3V9B;2.0;36;3.9;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ4V3B;2.0;36;4.3;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ4V7B;2.0;36;4.7;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ5V1B;2.0;36;5.1;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ5V6B;2.0;36;5.6;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
GDZ-Series;Enlarge;GDZ6V2B;2.0;36;6.2;5.0;200;SOD-323;Pulse current;Yes;image/diodes/85766.png;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.pdf;Datasheet/diodes/zener-stabilizers/GDZ-Series/GDZ-Series.zip
