Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5225;3.0;75;3.0;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5226;3.0;75;3.3;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5227;3.0;75;3.6;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5228;3.0;75;3.9;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5229;3.0;75;4.3;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5230;3.0;75;4.7;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5231;3.0;75;5.1;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5232;3.0;75;5.6;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5233;3.0;75;6.0;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5234;3.0;75;6.2;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5235;3.0;75;6.8;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5236;3.0;75;7.5;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5237;3.0;75;8.2;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5238;3.0;75;8.7;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5239;3.0;75;9.1;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5240;3.0;75;10.0;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5241;3.0;75;11.0;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5242;3.0;75;12.0;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5243;3.0;75;13.0;9.5;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5244;3.0;75;14.0;9.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
MMSZ5225 to MMSZ5267;Enlarge;MMSZ5245;3.0;75;15.0;8.5;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86344.png;Datasheet/diodes/zener-stabilizers/MMSZ5225 to MMSZ5267/MMSZ5225 to MMSZ5267.pdf;
