Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5225-G;3.0;75;3.0;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5226-G;3.0;75;3.3;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5227-G;3.0;75;3.6;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5228-G;3.0;75;3.9;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5229-G;3.0;75;4.3;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5230-G;3.0;75;4.7;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5231-G;3.0;75;5.1;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5232-G;3.0;75;5.6;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5233-G;3.0;75;6.0;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5234-G;3.0;75;6.2;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5235-G;3.0;75;6.8;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5236-G;3.0;75;7.5;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5237-G;3.0;75;8.2;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
MMSZ5225-G to MMSZ5267-G;Enlarge;MMSZ5238-G;3.0;75;8.7;20.0;500;SOD-123;Thermal equilibrium;Yes;image/diodes/86348.png;Datasheet/diodes/zener-stabilizers/MMSZ5225-G to MMSZ5267-G/MMSZ5225-G to MMSZ5267-G.pdf;
