Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;7.5;8.33;9.21;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;17.0;18.9;20.9;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;6.0;6.67;7.37;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;11.0;12.2;13.5;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;14.0;15.6;17.2;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;8.5;9.44;10.4;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;20.0;22.2;24.5;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;7.0;7.78;8.6;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;13.0;14.4;15.9;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;16.0;17.8;19.7;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;10.0;11.1;12.3;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;8.0;8.89;9.83;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;18.0;20.0;22.1;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;6.5;7.22;7.98;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;12.0;13.3;14.7;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;15.0;16.7;18.5;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
MSMP6.0A thru MSMP20A;Enlarge;TRANSZORB® TVS;150;MicroSMP (DO-219AD);Unidirectional;9.0;10.0;11.1;150;Yes;image/diodes/89457.png;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.pdf;Datasheet/diodes/tvs-protection/MSMP6.0A thru MSMP20A/MSMP6.0A thru MSMP20A.zip
