Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
PLZ Series;Enlarge;PLZ2V0A;2.0;39;2.0;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ2V0B;2.0;39;2.0;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ2V2A;2.0;39;2.2;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ2V2B;2.0;39;2.2;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ2V4A;2.0;39;2.4;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ2V4B;2.0;39;2.4;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ2V7A;2.0;39;2.7;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ2V7B;2.0;39;2.7;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V0A;2.0;39;3.0;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V0B;2.0;39;3.0;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V3A;2.0;39;3.3;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V3B;2.0;39;3.3;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V6A;2.0;39;3.6;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V6B;2.0;39;3.6;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V9A;2.0;39;3.9;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ3V9B;2.0;39;3.9;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ4V3A;2.0;39;4.3;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ4V3B;2.0;39;4.3;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ4V3C;2.0;39;4.3;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ4V7A;2.0;39;4.7;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ4V7B;2.0;39;4.7;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ4V7C;2.0;39;4.7;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ5V1A;2.0;39;5.1;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ5V1B;2.0;39;5.1;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ5V1C;2.0;39;5.1;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ5V6A;2.0;39;5.6;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ5V6B;2.0;39;5.6;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ5V6C;2.0;39;5.6;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ6V2A;2.0;39;6.2;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ6V2B;2.0;39;6.2;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ6V2C;2.0;39;6.2;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ6V8A;2.0;39;6.8;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ6V8B;2.0;39;6.8;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ6V8C;2.0;39;6.8;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ7V5A;2.0;39;7.5;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ7V5B;2.0;39;7.5;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ7V5C;2.0;39;7.5;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
PLZ Series;Enlarge;PLZ8V2A;2.0;39;8.2;20.0;500;MicroSMF (DO-219AC);Pulse current;Yes;image/diodes/84830.png;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.pdf;Datasheet/diodes/zener-stabilizers/PLZ Series/PLZ Series.zip
