Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
PTV3.9B thru PTV36B;Enlarge;PTV 3.9B;4.2;38;4.2;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 4.3B;4.2;38;4.6;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 4.7B;4.2;38;5.0;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 5.1B;4.2;38;5.4;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 5.6B;4.2;38;6.0;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 6.2B;4.2;38;6.6;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 6.8B;4.2;38;7.3;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 7.5B;4.2;38;8.0;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 8.2B;4.2;38;8.8;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
PTV3.9B thru PTV36B;Enlarge;PTV 9.1B;4.2;38;9.7;40.0;1500;SMP (DO-220AA);Pulse current;No;image/diodes\88484.png;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.pdf;Datasheet\diodes\PTV3.9B thru PTV36B\PTV3.9B thru PTV36B.zip
