Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;8.0;8.89;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;30.0;33.3;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;50.0;55.5;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;5.0;7.6;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;18.0;20.0;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;10.0;11.1;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;7.0;8.33;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;26.0;28.9;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;45.0;50.0;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;15.0;16.7;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;8.5;9.44;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;36.0;40.0;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;6.0;7.9;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;22.0;24.4;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
SAC5.0 thru SAC50;Enlarge;TRANSZORB® TVS;500;DO-15 (DO-204AC);Unidirectional;12.0;13.3;;175;No;image/diodes\88379.png;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.pdf;Datasheet\diodes\SAC5.0 thru SAC50\SAC5.0 thru SAC50.zip
