Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;33.3;37.1;41.0;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;12.8;14.3;15.8;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;188.0;209.0;231.0;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;6.4;7.13;7.88;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;25.6;28.5;31.5;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;85.5;95.0;105.0;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;18.8;20.9;23.1;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;30.8;34.2;37.8;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;10.2;11.4;12.6;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;171.0;190.0;210.0;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;5.8;6.45;7.14;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;23.1;25.7;28.4;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;58.1;64.6;71.4;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;15.3;17.1;18.9;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;8.55;9.5;10.5;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;28.2;31.4;34.7;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;128.0;143.0;158.0;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
SM15T Series;Enlarge;TRANSZORB® TVS;1500;SMC (DO-214AB);Unidirectional, bidirectional;20.5;22.8;25.2;150;Yes;image/diodes\88380.png;Datasheet\diodes\SM15T Series\SM15T Series.pdf;Datasheet\diodes\SM15T Series\SM15T Series.zip
