Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;45.0;50.0;55.3;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;13.0;14.4;15.9;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;75.0;83.3;92.1;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;24.0;26.7;29.5;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;10.0;11.1;12.3;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;60.0;66.7;73.7;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;18.0;20.0;22.1;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;36.0;40.0;44.2;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;51.0;56.7;62.7;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;15.0;16.7;18.5;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
