Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;30.0;33.3;36.8;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;10.0;11.1;12.3;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;18.0;20.0;22.1;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;24.0;26.7;29.5;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;15.0;16.7;18.5;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;36.0;40.0;44.2;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;12.0;13.3;14.7;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;22.0;24.4;26.9;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;28.0;31.1;34.4;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;17.0;18.9;20.9;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;43.0;47.8;52.8;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;14.0;15.6;17.2;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;33.0;36.7;40.6;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;11.0;12.2;13.5;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;20.0;22.2;24.5;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;26.0;28.9;31.9;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;16.0;17.8;19.7;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;40.0;44.4;49.1;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
SM8S10A thru SM8S43A;Enlarge;PAR® TVS;6600;DO-218AB;Unidirectional;13.0;14.4;15.9;175;Yes;image/diodes\88387.png;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.pdf;Datasheet\diodes\SM8S10A thru SM8S43A\SM8S10A thru SM8S43A.zip
