Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;12.0;13.3;14.7;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;6.5;7.22;7.98;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;15.0;16.7;18.5;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;28.0;31.1;34.4;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;9.0;10.0;11.1;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;22.0;24.4;26.9;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;14.0;15.6;17.2;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;7.5;8.33;9.21;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;17.0;18.9;20.9;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;33.0;36.7;40.6;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;11.0;12.2;13.5;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;6.0;6.67;7.37;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;26.0;28.9;31.9;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;8.5;9.44;10.4;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;20.0;22.2;24.5;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;40.0;44.4;49.1;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;13.0;14.4;15.9;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
SMA5J5.0A thru SMA5J40CA;Enlarge;TRANSZORB® TVS;500;SMA (DO-214AC);Unidirectional, bidirectional;7.0;7.78;8.6;150;Yes;image/diodes\88875.png;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.pdf;Datasheet\diodes\SMA5J5.0A thru SMA5J40CA\SMA5J5.0A thru SMA5J40CA.zip
