Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;6.5;7.2;7.96;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;15.0;16.7;18.5;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;28.0;31.1;34.4;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;11.0;12.2;13.5;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;22.0;24.4;26.9;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;8.0;8.89;9.83;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;17.0;18.9;20.9;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;6.0;6.7;7.41;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;13.0;14.4;15.9;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;26.0;28.9;31.9;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;10.0;11.1;12.3;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;20.0;22.2;24.5;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;7.5;8.33;9.21;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;16.0;17.8;19.7;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;5.0;6.4;7.07;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;12.0;13.3;14.7;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;24.0;26.7;29.5;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;8.5;9.4;10.4;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
SMA6J5.0A thru SMA6J28A;Enlarge;TRANSZORB® TVS;600;SMA (DO-214AC);Unidirectional;18.0;20.0;22.1;150;No;image/diodes/89460.png;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.pdf;Datasheet/diodes/tvs-protection/SMA6J5.0A thru SMA6J28A/SMA6J5.0A thru SMA6J28A.zip
