Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5919B;5.6;68;5.6;66.9;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5920B;5.6;68;6.2;60.5;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5921B;5.6;68;6.8;55.1;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5923B;5.6;68;8.2;45.7;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5924B;5.6;68;9.1;41.2;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5925B;5.6;68;10.0;37.5;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5926B;5.6;68;11.0;34.1;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5927B;5.6;68;12.0;31.2;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5928B;5.6;68;13.0;28.8;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5929B;5.6;68;15.0;25.0;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5930B;5.6;68;16.0;23.4;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5931B;5.6;68;18.0;20.8;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5932B;5.6;68;20.0;18.7;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5933B;5.6;68;22.0;17.0;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5934B;5.6;68;24.0;15.6;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5935B;5.6;68;27.0;13.9;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5936B;5.6;68;30.0;12.5;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5937B;5.6;68;33.0;11.4;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5938B;5.6;68;36.0;10.4;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5939B;5.6;68;39.0;9.6;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5940B;5.6;68;43.0;8.7;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
SMAZ5919B thru SMAZ5945B;Enlarge;SMAZ5941B;5.6;68;47.0;8.0;1500;SMA (DO-214AC);Pulse current;No;image/diodes/89416.png;Datasheet/diodes/zener-stabilizers/SMAZ5919B thru SMAZ5945B/SMAZ5919B thru SMAZ5945B.pdf;
