Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;7.0;7.78;8.6;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;30.0;33.3;36.8;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;188.0;209.0;231.0;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;8.5;9.44;10.4;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;54.0;60.0;66.3;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;16.0;17.8;19.7;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;90.0;100.0;111.0;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;5.0;6.4;7.07;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;24.0;26.7;29.5;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;150.0;167.0;185.0;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;45.0;50.0;55.3;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;13.0;14.4;15.9;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;75.0;83.3;92.1;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;110.0;122.0;135.0;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;36.0;40.0;44.2;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;10.0;11.1;12.3;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
SMBG5.0A thru SMBG188CA;Enlarge;TRANSZORB® TVS;600;SMBG (DO-215AA);Unidirectional, bidirectional;60.0;66.7;73.7;150;Yes;image/diodes/88456.png;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.pdf;Datasheet/diodes/tvs-protection/SMBG5.0A thru SMBG188CA/SMBG5.0A thru SMBG188CA.zip
