Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
SMZG3788B thru SMZG3809B;Enlarge;SMZG3788B;9.1;68;9.1;41.2;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3789B;9.1;68;10.0;37.5;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3790B;9.1;68;11.0;34.1;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3791B;9.1;68;12.0;31.2;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3792B;9.1;68;13.0;28.8;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3793B;9.1;68;15.0;25.0;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3794B;9.1;68;16.0;23.4;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3795B;9.1;68;18.0;20.8;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3796B;9.1;68;20.0;18.7;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3797B;9.1;68;22.0;17.0;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3798B;9.1;68;24.0;15.6;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3799B;9.1;68;27.0;13.9;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3800B;9.1;68;30.0;12.5;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3801B;9.1;68;33.0;11.4;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3802B;9.1;68;36.0;10.4;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3803B;9.1;68;39.0;9.6;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3804B;9.1;68;43.0;8.7;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3805B;9.1;68;47.0;8.0;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3806B;9.1;68;51.0;7.3;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3807B;9.1;68;56.0;6.7;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3808B;9.1;68;62.0;6.0;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
SMZG3788B thru SMZG3809B;Enlarge;SMZG3809B;9.1;68;68.0;5.5;1500;SMBG (DO-215AA);Pulse current;Yes;image/diodes/88458.png;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.pdf;Datasheet/diodes/zener-stabilizers/SMZG3788B thru SMZG3809B/SMZG3788B thru SMZG3809B.zip
