Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3788B;9.1;68;9.1;41.2;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3789B;9.1;68;10.0;37.5;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3790B;9.1;68;11.0;34.1;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3791B;9.1;68;12.0;31.2;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3792B;9.1;68;13.0;28.8;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3793B;9.1;68;15.0;25.0;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3794B;9.1;68;16.0;23.4;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3795B;9.1;68;18.0;20.8;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3796B;9.1;68;20.0;18.7;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
SMZJ3788B thru SMZJ3809B;Enlarge;SMZJ3797B;9.1;68;22.0;17.0;1500;SMB (DO-214AA);Pulse current;Yes;image/diodes\88402.png;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.pdf;Datasheet\diodes\SMZJ3788B thru SMZJ3809B\SMZJ3788B thru SMZJ3809B.zip
