Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;13.6;15.2;16.8;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;30.8;34.2;37.8;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;6.4;7.13;7.88;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;10.2;11.4;12.6;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;23.1;25.7;28.4;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;17.1;19.0;21.0;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;36.8;40.9;45.2;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;7.78;8.65;9.55;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;12.8;14.3;15.8;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
TA6F6.8A thru TA6F51A;Enlarge;PAR® TVS;600;SlimSMA (DO-221AC);Unidirectional;28.2;31.4;34.7;185;Yes;image/diodes\89939.png;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.pdf;Datasheet\diodes\TA6F6.8A thru TA6F51A\TA6F6.8A thru TA6F51A.zip
