Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;10.2;11.4;12.6;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;102.0;114.0;126.0;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;23.1;25.7;28.4;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;47.8;53.2;58.8;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;7.78;8.65;9.55;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;77.8;86.5;95.5;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;17.1;19.0;21.0;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;154.0;171.0;189.0;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;36.8;40.9;45.2;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;12.8;14.3;15.8;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;128.0;143.0;158.0;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;28.2;31.4;34.7;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;5.8;6.45;7.14;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;58.1;64.6;71.4;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
TGL41-6.8A thru TGL41-200A;Enlarge;TRANSZORB® TVS;400;GL41 (DO-213AB);Unidirectional;9.4;10.5;11.6;150;No;image/diodes/88403.png;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.pdf;Datasheet/diodes/tvs-protection/TGL41-6.8A thru TGL41-200A/TGL41-6.8A thru TGL41-200A.zip
