Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
TLZ-Series;Enlarge;TLZ2V4A;2.4;56;2.4;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ2V4B;2.4;56;2.4;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ2V7A;2.4;56;2.7;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ2V7B;2.4;56;2.7;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V0A;2.4;56;3.0;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V0B;2.4;56;3.0;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V3A;2.4;56;3.3;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V3B;2.4;56;3.3;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V6A;2.4;56;3.6;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V6B;2.4;56;3.6;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V9A;2.4;56;3.9;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ3V9B;2.4;56;3.9;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ4V3A;2.4;56;4.3;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ4V3B;2.4;56;4.3;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ4V3C;2.4;56;4.3;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
TLZ-Series;Enlarge;TLZ4V7A;2.4;56;4.7;20.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes\85635.png;Datasheet\diodes\TLZ-Series\TLZ-Series.pdf;Datasheet\diodes\TLZ-Series\TLZ-Series.zip
