Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;12.8;14.3;15.8;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;28.2;31.4;34.7;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;9.4;10.5;11.6;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;20.5;22.8;25.2;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;15.3;17.1;18.9;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;11.1;12.4;13.7;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;25.6;28.5;31.5;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;18.8;20.9;23.1;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;13.6;15.2;16.8;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;30.8;34.2;37.8;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;10.2;11.4;12.6;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;23.1;25.7;28.4;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
TPC11CA thru TPC36CA;Enlarge;PAR® TVS;1500;SMPC (TO-277A);Bidirectional;17.1;19.0;21.0;185;Yes;image/diodes/87649.png;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.pdf;Datasheet/diodes/tvs-protection/TPC11CA thru TPC36CA/TPC11CA thru TPC36CA.zip
