Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;7.02;7.79;8.61;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;15.3;17.1;18.9;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;11.1;12.4;13.7;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;25.6;28.5;31.5;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;33.3;37.1;41.0;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;8.55;9.5;10.5;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;18.8;20.9;23.1;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;6.4;7.13;7.88;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;13.6;15.2;16.8;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;40.2;44.7;49.4;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;10.2;11.4;12.6;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;23.1;25.7;28.4;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;30.8;34.2;37.8;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;7.78;8.65;9.55;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;17.1;19.0;21.0;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;5.8;6.45;7.14;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;12.8;14.3;15.8;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;36.8;40.9;45.2;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;9.4;10.5;11.6;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;20.5;22.8;25.2;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
TPSMC6.8A thru TPSMC47A;Enlarge;PAR® TVS;1500;SMC (DO-214AB);Unidirectional;28.2;31.4;34.7;185;Yes;image/diodes\88407.png;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.pdf;Datasheet\diodes\TPSMC6.8A thru TPSMC47A\TPSMC6.8A thru TPSMC47A.zip
