Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
TZMA-Series;Enlarge;TZMA4V7;4.7;30;4.7;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA5V1;4.7;30;5.1;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA5V6;4.7;30;5.6;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA6V2;4.7;30;6.2;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA6V8;4.7;30;6.8;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA7V5;4.7;30;7.5;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA8V2;4.7;30;8.2;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA9V1;4.7;30;9.1;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA10;4.7;30;10.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA11;4.7;30;11.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA12;4.7;30;12.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA13;4.7;30;13.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA15;4.7;30;15.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA16;4.7;30;16.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA18;4.7;30;18.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA20;4.7;30;20.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
TZMA-Series;Enlarge;TZMA30;4.7;30;30.0;5.0;500;MiniMELF (SOD-80);Pulse current;No;image/diodes/85618.png;Datasheet/diodes/zener-stabilizers/TZMA-Series/TZMA-Series.pdf;
