Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
TZQ5221B to TZQ5267B;Enlarge;TZQ5221B;2.4;75;2.4;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5222B;2.4;75;2.5;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5223B;2.4;75;2.7;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5224B;2.4;75;2.8;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5225B;2.4;75;3.0;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5226B;2.4;75;3.3;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5227B;2.4;75;3.6;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5228B;2.4;75;3.9;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5229B;2.4;75;4.3;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5230B;2.4;75;4.7;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5231B;2.4;75;5.1;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
TZQ5221B to TZQ5267B;Enlarge;TZQ5232B;2.4;75;5.6;20.0;500;QuadroMELF (SOD-80);Thermal equilibrium;No;image/diodes\85612.png;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.pdf;Datasheet\diodes\TZQ5221B to TZQ5267B\TZQ5221B to TZQ5267B.zip
