Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;1000;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;900;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;800;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;700;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;600;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;500;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;400;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;200;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;300;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;100;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;150;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
VS-1N1...A, VS-1N36..A Series;Enlarge;12 at 150;230;240;50;;-65 to +200;1.35;DO-4 (DO-203AA);Single;image/diodes/93493.png;Datasheet/diodes/med-high-diodes/VS-1N1...A, VS-1N36..A Series/VS-1N1...A, VS-1N36..A Series.pdf;
