Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;480;500;50;;-65 to +200;1.7;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;380;400;50;;-65 to +200;1.8;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;40 at 150;765;800;50;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;60 at 140;860;900;50;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;480;500;100;;-65 to +200;1.7;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;380;400;100;;-65 to +200;1.8;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;40 at 150;765;800;100;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;60 at 140;860;900;100;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;480;500;150;;-65 to +200;1.7;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;380;400;150;;-65 to +200;1.8;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;40 at 150;765;800;150;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;60 at 140;860;900;150;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;480;500;200;;-65 to +200;1.7;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;380;400;200;;-65 to +200;1.8;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;40 at 150;765;800;200;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;60 at 140;860;900;200;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;480;500;300;;-65 to +200;1.7;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;380;400;300;;-65 to +200;1.8;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;40 at 150;765;800;300;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;60 at 140;860;900;300;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;480;500;400;;-65 to +200;1.7;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;35 at 140;380;400;400;;-65 to +200;1.8;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series;Enlarge;40 at 150;765;800;400;;-65 to +200;1.3;DO-5 (DO-203AB);Single;image/diodes/93492.png;Datasheet/diodes/med-high-diodes/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series/VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series.pdf;
