Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;85 at 85;1100;1151;1000;;-40 to +125;1.75;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;70 at 85;700;730;1000;;-40 to +125;1.85;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;40 at 85;400;420;1000;;-40 to +125;1.95;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;85 at 85;1100;1151;800;;-40 to +125;1.75;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;70 at 85;700;730;800;;-40 to +125;1.85;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;40 at 85;400;420;800;;-40 to +125;1.95;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;85 at 85;1100;1151;600;;-40 to +125;1.75;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;70 at 85;700;730;600;;-40 to +125;1.85;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;40 at 85;400;420;600;;-40 to +125;1.95;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
VS-40HFL, VS-70HFL, VS-85HFL Series;Enlarge;85 at 85;1100;1151;400;;-40 to +125;1.75;DO-5 (DO-203AB);Single;image/diodes/93150.png;Datasheet/diodes/med-high-diodes/VS-40HFL, VS-70HFL, VS-85HFL Series/VS-40HFL, VS-70HFL, VS-85HFL Series.pdf;
