Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;6 at 100;110;115;50;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;12 at 100;145;150;50;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;16 at 100;180;190;50;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;6 at 100;110;115;100;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;12 at 100;145;150;100;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;16 at 100;180;190;100;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;6 at 100;110;115;200;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;12 at 100;145;150;200;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;16 at 100;180;190;200;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
VS-6FL(R), VS-12FL(R), VS-16FL(R) Series;Enlarge;6 at 100;110;115;400;;-65 to +150;1.4;DO-4 (DO-203AA);Single;image/diodes/93138.png;Datasheet/diodes/med-high-diodes/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series/VS-6FL(R), VS-12FL(R), VS-16FL(R) Series.pdf;
