Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;1600;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;1600;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;1400;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;1400;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;1200;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;1200;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;1000;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;1000;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;800;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;800;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;600;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;600;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;400;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;400;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;300;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;300;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;200;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;200;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 110;1200;1250;100;;-65 to +150;1.46;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
VS-70HF(R) Series;Enlarge;70 at 140;1200;1250;100;;-65 to +180;1.35;DO-5 (DO-203AB);Single;image/diodes\93521.png;Datasheet\diodes\VS-70HF(R) Series\VS-70HF(R) Series.pdf;
