Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;400;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;400;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;800;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;800;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;1200;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;1200;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;1600;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;1600;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;2000;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;2000;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;2200;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;2200;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;2500;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;2500;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;3000;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;3000;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1400 at 55;13000;13600;3200;;-40 to +180;1.31;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
VS-SD1100C..C Series;Enlarge;1100 at 55;10500;11000;3200;;-40 to +150;1.44;B-43;Single;image/diodes/93535.png;Datasheet/diodes/med-high-diodes/VS-SD1100C..C Series/VS-SD1100C..C Series.pdf;
