Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;400;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;400;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;800;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;800;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;1200;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;1200;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;1600;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;1600;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;2000;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;2000;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;2200;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;2200;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;2800;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;2800;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 92;13000;13600;3200;;-40 to +180;1.31;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
VS-SD600N/R Series;Enlarge;600 at 54;10500;11000;3200;;-40 to +150;1.44;B-8;Single;image/diodes\93551.png;Datasheet\diodes\VS-SD600N/R Series\VS-SD600N/R Series.pdf;
