Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-100A;100.0;200;100.0;3.7;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-110A;100.0;200;110.0;3.4;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-120A;100.0;200;120.0;3.1;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-130A;100.0;200;130.0;2.9;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-140A;100.0;200;140.0;2.7;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-150A;100.0;200;150.0;2.5;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-160A;100.0;200;160.0;2.3;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-170A;100.0;200;170.0;2.2;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-180A;100.0;200;180.0;2.1;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-190A;100.0;200;190.0;2.0;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
ZGL41-100A thru ZGL41-200A;Enlarge;ZGL41-200A;100.0;200;200.0;1.9;1000;GL41 (DO-213AB);Pulse current;No;image/diodes\88409.png;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.pdf;Datasheet\diodes\ZGL41-100A thru ZGL41-200A\ZGL41-100A thru ZGL41-200A.zip
