Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
ZM4728A to ZM4761A;Enlarge;ZM4728A;3.3;75;3.3;76.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4729A;3.3;75;3.6;69.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4730A;3.3;75;3.9;64.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4731A;3.3;75;4.3;58.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4732A;3.3;75;4.7;53.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4733A;3.3;75;5.1;49.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4734A;3.3;75;5.6;45.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4735A;3.3;75;6.2;41.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4736A;3.3;75;6.8;37.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
ZM4728A to ZM4761A;Enlarge;ZM4737A;3.3;75;7.5;34.0;1000;MELF (DO-213AB) glass;Thermal equilibrium;No;image/diodes\85786.png;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.pdf;Datasheet\diodes\ZM4728A to ZM4761A\ZM4728A to ZM4761A.zip
