Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
ZPY3V9  to ZPY75;Enlarge;ZPY3V9;3.9;100;3.9;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY4V3;3.9;100;4.3;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY4V7;3.9;100;4.7;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY5V1;3.9;100;5.1;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY5V6;3.9;100;5.6;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY6V2;3.9;100;6.2;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY6V8;3.9;100;6.8;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY7V5;3.9;100;7.5;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY8V2;3.9;100;8.2;100.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
ZPY3V9  to ZPY75;Enlarge;ZPY9V1;3.9;100;9.1;50.0;1300;DO-41 (DO-204AL);Pulse current;No;image/diodes\85790.png;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.pdf;Datasheet\diodes\ZPY3V9  to ZPY75\ZPY3V9  to ZPY75.zip
