Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;800;900;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;200;275;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;1600;1700;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;400;500;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;50;75;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;1200;1300;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;100;150;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;1400;1500;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;800;900;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;1000;1100;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;400;500;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;600;725;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;100;150;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;1400;1500;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;200;275;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;1600;1700;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;1000;1100;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;50;75;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;25.0;70.0;1200;1300;360;375;1.26 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
VS-26MT.., VS-36MT.. Series;Enlarge;35.0;60.0;600;725;475;500;1.19 at 40;150;;D-63;Three phase bridge;image/modules\93565.png;Datasheet\modules\VS-26MT.., VS-36MT.. Series\VS-26MT.., VS-36MT.. Series.pdf;
