Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-60-70MT..KPbF Series;Enlarge;70.0;85.0;800;900;480;500;1.55 at 100;150;1.75;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;60.0;85.0;1400;1500;420;440;1.75 at 100;150;2.22;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;60.0;85.0;1000;1100;420;440;1.75 at 100;150;2.22;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;70.0;85.0;1400;1500;480;500;1.55 at 100;150;1.75;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;70.0;85.0;1000;1100;480;500;1.55 at 100;150;1.75;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;60.0;85.0;1600;1700;420;440;1.75 at 100;150;2.22;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;60.0;85.0;1200;1300;420;440;1.75 at 100;150;2.22;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;70.0;85.0;1600;1700;480;500;1.55 at 100;150;1.75;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;60.0;85.0;800;900;420;440;1.75 at 100;150;2.22;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
VS-60-70MT..KPbF Series;Enlarge;70.0;85.0;1200;1300;480;500;1.55 at 100;150;1.75;MTK;Three phase bridge;image/modules\94356.png;Datasheet\modules\VS-60-70MT..KPbF Series\VS-60-70MT..KPbF Series.pdf;
