Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-GBPC.. Series;Enlarge;25.0;60.0;1200;1300;400;420;;150;1.7;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;400;500;400;420;;150;1.7;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;600;725;475;500;;150;1.4;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;800;900;400;420;;150;1.7;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;1000;1100;475;500;;150;1.4;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;200;275;475;500;;150;1.4;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;400;500;400;420;;150;1.7;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;600;725;475;500;;150;1.4;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;1000;1100;400;420;;150;1.7;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;1200;1300;475;500;;150;1.4;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;200;275;475;500;;150;1.4;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;600;725;400;420;;150;1.7;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;800;900;475;500;;150;1.4;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;1000;1100;400;420;;150;1.7;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;200;275;400;420;;150;1.7;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;1200;1300;475;500;;150;1.4;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;400;500;475;500;;150;1.4;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;600;725;400;420;;150;1.7;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;800;900;475;500;;150;1.4;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;1200;1300;400;420;;150;1.7;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;200;275;400;420;;150;1.7;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;400;500;475;500;;150;1.4;GBPC...W;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;25.0;60.0;800;900;400;420;;150;1.7;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
VS-GBPC.. Series;Enlarge;35.0;55.0;1000;1100;475;500;;150;1.4;GBPC...A;Single phase bridge;image/modules\93575.png;Datasheet\modules\VS-GBPC.. Series\VS-GBPC.. Series.pdf;
