Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-KBPC1, VS-KBPC6 Series;Enlarge;6.0;50.0;400;400;125;137;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;3.0;50.0;100;100;50;55;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;6.0;50.0;100;100;125;137;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;3.0;50.0;1000;1000;50;55;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;6.0;50.0;1000;1000;125;137;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;3.0;50.0;600;600;50;55;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;6.0;50.0;600;600;125;137;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;3.0;50.0;200;200;50;55;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;6.0;50.0;200;200;125;137;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;3.0;50.0;50;50;50;55;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;6.0;50.0;50;50;125;137;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;3.0;50.0;800;800;50;55;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;6.0;50.0;800;800;125;137;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
VS-KBPC1, VS-KBPC6 Series;Enlarge;3.0;50.0;400;400;50;55;;150;;D-72;Single phase bridge;image/modules\93585.png;Datasheet\modules\VS-KBPC1, VS-KBPC6 Series\VS-KBPC1, VS-KBPC6 Series.pdf;
