Series;Product Image;IO(A);TC(°C);VRRM(V);VRSM(V);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VFMat ITMat25 °C(V);TJ(°C);RthJCperJunction(°C/W);Package;CircuitConfiguration;Image path;Datasheet part;3d model part
VS-MB Series;Enlarge;25.0;65.0;600;725;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;1000;1100;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;600;725;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;200;275;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;200;275;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;60;100;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;1200;1300;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;60;100;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;800;900;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;1200;1300;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;800;900;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;400;500;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;400;500;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;100;150;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;100;150;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;50;75;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;25.0;65.0;1000;1100;400;420;1.11 at 40;150;1.7;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
VS-MB Series;Enlarge;35.0;60.0;50;75;475;500;1.14 at 55;150;1.2;D-34;Single phase bridge;image/modules\93563.png;Datasheet\modules\VS-MB Series\VS-MB Series.pdf;
