Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
AC, AC-AT, AC-NI;Enlarge;0.1;33;E24;5.0;0.9;;-10 to -80;Through-hole;Axial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;33;E24;5.0;1;;-10 to -80;Through-hole;Axial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;390;E24;5.0;2.5;;-10 to -80;Surface-mount;Z-form;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;390;E24;5.0;2.5;;-10 to -80;Through-hole;Axial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;390;E24;5.0;2.5;;-10 to -80;Through-hole;Radial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;390;E24;5.0;3;;-10 to -80;Surface-mount;Z-form;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;390;E24;5.0;3;;-10 to -80;Through-hole;Axial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;390;E24;5.0;3;;-10 to -80;Through-hole;Radial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;620;E24;5.0;3.5;;-10 to -80;Through-hole;Axial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
AC, AC-AT, AC-NI;Enlarge;0.1;620;E24;5.0;4;;-10 to -80;Through-hole;Axial;-55 to +250;AEC-Q200 qualified;image/resistors-fixed/28730.png;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.pdf;Datasheet\/resistors-fixed/AC, AC-AT, AC-NI\AC, AC-AT, AC-NI.zip
