Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;1;;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;1;;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;1.1;;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;1.1;;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;2.5;;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;2.5;;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;3;;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;3;;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;4.5;;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;4.5;;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;5;;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5.0;5;;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.pdf;Datasheet\/resistors-fixed/AC01-CS, AC03-CS, AC05-CS\AC01-CS, AC03-CS, AC05-CS.zip
