Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
AH;Enlarge;5;100;;10.0;75;87;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;100;;10.0;75;87;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;100;;5.0;75;87;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;100;;5.0;75;87;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;200;;10.0;100;141;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;200;;10.0;100;141;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;200;;5.0;100;141;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;200;;5.0;100;141;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;150;274;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;150;274;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;200;316;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;200;316;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;250;354;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;250;354;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;300;387;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;10.0;300;387;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;150;274;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;150;274;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;200;316;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;200;316;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;250;354;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;250;354;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;300;387;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
AH;Enlarge;5;500;;5.0;300;387;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png;Datasheet\/resistors-fixed/AH\AH.pdf;
