Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
ASE;Enlarge;0.08;9;;10.0;140;35;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.08;9;;10.0;140;35;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.08;9;;5.0;140;35;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.08;9;;5.0;140;35;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;12.5;;10.0;155;44;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;12.5;;10.0;155;44;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;12.5;;5.0;155;44;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;12.5;;5.0;155;44;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;18;;10.0;240;66;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;18;;10.0;240;66;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;18;;5.0;240;66;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;18;;5.0;240;66;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;5.7;;10.0;90;23;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;5.7;;10.0;90;23;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;5.7;;5.0;90;23;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;5.7;;5.0;90;23;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;8.6;;10.0;120;32;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;8.6;;10.0;120;32;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;8.6;;5.0;120;32;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.1;8.6;;5.0;120;32;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;25;;10.0;300;87;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;25;;10.0;300;87;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;25;;5.0;300;87;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;25;;5.0;300;87;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;6.1;;10.0;100;25;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;6.1;;10.0;100;25;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;6.1;;5.0;100;25;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.15;6.1;;5.0;100;25;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;32;;10.0;375;110;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;32;;10.0;375;110;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;32;;5.0;375;110;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;32;;5.0;375;110;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;7.4;;10.0;110;29;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;7.4;;10.0;110;29;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;7.4;;5.0;110;29;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.2;7.4;;5.0;110;29;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.25;35.8;;10.0;420;123;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.25;35.8;;10.0;420;123;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.25;35.8;;5.0;420;123;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.25;35.8;;5.0;420;123;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.3;46.2;;10.0;500;152;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.3;46.2;;10.0;500;152;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.3;46.2;;5.0;500;152;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.3;46.2;;5.0;500;152;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;10.0;165;46;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;10.0;165;46;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;10.0;180;48;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;10.0;180;48;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;5.0;165;44;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;5.0;165;46;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;5.0;180;48;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;13;;5.0;180;48;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;81.3;;10.0;750;247;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;81.3;;10.0;750;247;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;81.3;;5.0;750;247;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.35;81.3;;5.0;750;247;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.4;101.6;;10.0;1000;319;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.4;101.6;;10.0;1000;319;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.4;101.6;;5.0;1000;319;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.4;101.6;;5.0;1000;319;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.45;135.5;;10.0;1500;451;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.45;135.5;;10.0;1500;451;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.45;135.5;;5.0;1500;451;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;0.45;135.5;;5.0;1500;451;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;1;3.8;;10.0;50;14;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;1;3.8;;10.0;50;14;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;1;3.8;;5.0;50;14;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
ASE;Enlarge;1;3.8;;5.0;50;14;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png;Datasheet\/resistors-fixed/ASE\ASE.pdf;
