Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
AST;Enlarge;1;10600;;10.0;12;357;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;10600;;10.0;12;357;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;10600;;5.0;12;357;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;10600;;5.0;12;357;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;111000;;10.0;80;2980;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;111000;;10.0;80;2980;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;111000;;5.0;80;2980;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;111000;;5.0;80;2980;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;114000;;10.0;90;3203;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;114000;;10.0;90;3203;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;114000;;5.0;90;3203;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;114000;;5.0;90;3203;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;12000;;10.0;30;600;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;12000;;10.0;30;600;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;12000;;5.0;30;600;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;12000;;5.0;30;600;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
