Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
BCR;Enlarge;10;1M;;10.0;0.25;75;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;10;1M;;5.0;0.25;75;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;100;1M;;0.5;0.25;75;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;100;620K;;0.5;0.25;75;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;100;620K;;1.0;0.25;75;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;100;620K;;10.0;0.25;75;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;100;620K;;2.0;0.25;75;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;100;620K;;5.0;0.25;75;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;1M;;0.1;0.25;75;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;200K;;0.1;0.25;75;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;200K;;0.25;0.25;75;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;200K;;0.5;0.25;75;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;200K;;1.0;0.25;75;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;200K;;10.0;0.25;75;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;200K;;2.0;0.25;75;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;200K;;5.0;0.25;75;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;360K;;0.1;0.25;75;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;1K;620K;;0.1;0.25;75;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;20;1M;;2.0;0.25;75;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;1M;;0.25;0.25;75;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;360K;;0.25;0.25;75;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;360K;;0.5;0.25;75;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;360K;;1.0;0.25;75;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;360K;;10.0;0.25;75;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;360K;;2.0;0.25;75;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;360K;;5.0;0.25;75;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;200;620K;;0.25;0.25;75;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
BCR;Enlarge;50;1M;;1.0;0.25;75;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61023.png;Datasheet\/resistors-fixed/BCR\BCR.pdf;Datasheet\/resistors-fixed/BCR\BCR.zip
