Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CC5-;Enlarge;100;1M;;0.05;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;1M;;0.05;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;1M;;0.05;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.05;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.05;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.1;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.1;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.25;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.25;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.5;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;0.5;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;1.0;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;1.0;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;10.0;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;10.0;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;2.0;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;2.0;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;5.0;0.4;200;10;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;100;500K;;5.0;0.4;200;25;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.1;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.1;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.1;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.25;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.25;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.25;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.5;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.5;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;0.5;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;1.0;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;1.0;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;1.0;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;10.0;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;10.0;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;10.0;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;2.0;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;2.0;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;2.0;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;5.0;0.4;200;100;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;5.0;0.4;200;250;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
CC5-;Enlarge;50;1M;;5.0;0.4;200;50;Wire bondable;1010;-55 to +125;No;image/resistors-fixed/61005.png;Datasheet\/resistors-fixed/CC5-\CC5-.pdf;
