Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CC8;Enlarge;20;20K;;0.5;0.035;100;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;0.5;0.035;100;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;0.5;0.035;100;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;1.0;0.035;100;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;1.0;0.035;100;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;1.0;0.035;100;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;10.0;0.035;100;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;10.0;0.035;100;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;10.0;0.035;100;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;2.0;0.035;100;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;2.0;0.035;100;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;2.0;0.035;100;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;5.0;0.035;100;100;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;5.0;0.035;100;250;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;20;20K;;5.0;0.035;100;50;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;50;5.1K;;0.5;0.035;100;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;50;5.1K;;1.0;0.035;100;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;50;5.1K;;10.0;0.035;100;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;50;5.1K;;2.0;0.035;100;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
CC8;Enlarge;50;5.1K;;5.0;0.035;100;25;Wire bondable;0202;-55 to +125;No;image/resistors-fixed/61007.png;Datasheet\/resistors-fixed/CC8\CC8.pdf;
