Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CDMV;Enlarge;100K;1M;;1.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;100K;1M;;10.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;100K;1M;;2.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;100K;1M;;20.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;100K;1M;;5.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;10K;100K;;1.0;1;1415;150;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;10K;100K;;10.0;1;1415;150;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;10K;100K;;2.0;1;1415;150;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;10K;100K;;20.0;1;1415;150;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;10K;100K;;5.0;1;1415;150;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;1M;75M;;1.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;1M;75M;;10.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;1M;75M;;2.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;1M;75M;;20.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
CDMV;Enlarge;1M;75M;;5.0;1;1415;100;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/68040.png;Datasheet\/resistors-fixed/CDMV\CDMV.pdf;Datasheet\/resistors-fixed/CDMV\CDMV.zip
