Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CHP, HCHP;Enlarge;0.1;100M;;5.0;0.75;200;300;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;100M;;5.0;1;200;300;Surface-mount;2010;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;100M;;5.0;2;250;300;Surface-mount;2512;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;10M;;5.0;0.125;50;300;Surface-mount;0505;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;10M;;5.0;1;200;300;Surface-mount;1020;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;25M;;5.0;0.05;50;300;Surface-mount;0502;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;25M;;5.0;0.125;50;300;Surface-mount;0603;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;25M;;5.0;0.2;150;300;Surface-mount;0805;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;25M;;5.0;0.5;200;300;Surface-mount;1010;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;50M;;5.0;0.25;150;300;Surface-mount;1005;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;50M;;5.0;0.25;200;300;Surface-mount;1206;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.1;75M;;5.0;0.5;200;300;Surface-mount;1505;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
CHP, HCHP;Enlarge;0.5;100M;;5.0;0.75;200;200;Surface-mount;2208;-55 to +155;No;image/resistors-fixed/52023.png;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.pdf;Datasheet\/resistors-fixed/CHP, HCHP\CHP, HCHP.zip
