Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CMA 0204 - Ethernet Termination;Enlarge;1K0;1K0;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;1K0;1K0;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;1K0;1K0;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;1K0;1K0;;1.0;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;1K0;1K0;;1.0;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;1K0;1K0;;1.0;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;2K0;2K0;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;2K0;2K0;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;2K0;2K0;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;500R;500R;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;500R;500R;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
CMA 0204 - Ethernet Termination;Enlarge;500R;500R;;0.5;0.4;200;-250;Surface-mount;0204;-55 to +155;Vishay Automotive Grade;image/resistors-fixed/28954.png;Datasheet\/resistors-fixed/CMA 0204 - Ethernet Termination\CMA 0204 - Ethernet Termination.pdf;
