Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
CMF Non-Magnetic;Enlarge;0.1;10M;;2.0;1;500;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.1;10M;;5.0;1;500;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.1;22M;;2.0;1.5;500;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.1;22M;;5.0;1.5;500;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.1;50M;;2.0;0.5;250;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.1;50M;;5.0;0.5;250;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.5;10M;;1.0;1;500;150;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.5;10M;;1.0;1;500;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.5;10M;;2.0;1;500;150;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.5;10M;;5.0;1;500;150;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.5;22M;;1.0;1.5;500;150;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
CMF Non-Magnetic;Enlarge;0.5;22M;;1.0;1.5;500;200;Through-hole;Axial;-55 to +175;No;image/resistors-fixed/31091.png;Datasheet\/resistors-fixed/CMF Non-Magnetic\CMF Non-Magnetic.pdf;
